objectid,filename,title,subject,date,format,subject_headings,creator,description,physical_descriptiion,source,identifier,location,youtubeid
img001,Young Mickey.jpg,Portrait of Mickey Tucker at age 7 or 8,"Tucker, Mickey",1948-1949,image/jpg,Jazz musicians--United States,,Mickey as a young boy posing for a photograph,1 photograph : b&w ; 7 x 9 in.,"Mickey Tucker Collection, SC 174, Archives of African American Music and Culture, Indiana University, Bloomington.",http://purl.dlib.indiana.edu/iudl/images/VAE3152/VAE3152-000001,"Durham, North Carolina, USA ",
img002,Morehouse Recital.jpg,Mickey Tucker playing during his senior recital at Morehouse College,"Tucker, Mickey",1961,image/jpg,Jazz musicians--United States,,"Mickey as a teenager seated at a piano on stage, performing",1 photograph : b&w ; 8 x 10 in.,"Mickey Tucker Collection, SC 174, Archives of African American Music and Culture, Indiana University, Bloomington.",http://purl.dlib.indiana.edu/iudl/images/VAE3152/VAE3152-000010,"Atlanta, Georgia, United States",
img003,New Heritage.jpg,New Heritage Keyboard Quartet portrait,"Tucker, Mickey; Hanna, Roland",1973,image/jpg,Jazz musicians--United States,,Publicity photograph of Mickey Tucker and Roland Hanna for the New Heritage Keyboard Quartet ,1 photograph : b&w ; 8 x 10 in.,"Mickey Tucker Collection, SC 174, Archives of African American Music and Culture, Indiana University, Bloomington.",http://purl.dlib.indiana.edu/iudl/images/VAE3152/VAE3152-000016,,
img004,MT Album Cover.jpg,"Mickey Tucker's ""Theme For a Woogie-Boogie"" album cover","Tucker, Mickey",1978-11-01,image/jpg,Jazz musicians--United States,,"Mickey Tucker in a reflection, photograph used for an album cover of ""Theme For a Boogie Woogie"" ",1 photograph : color ; 8.5 x 11.5 in.,"Mickey Tucker Collection, SC 174, Archives of African American Music and Culture, Indiana University, Bloomington.",http://purl.dlib.indiana.edu/iudl/images/VAE3152/VAE3152-000037,,
img005 ,Amsterdam Performance.jpg,Mickey Tucker playing piano in Amsterdam,"Tucker, Mickey",1986,image/jpg,Jazz musicians--United States,,"Mickey as a man seated at a piano on stage, performing",1 photograph : b&w ; 4.5 x 7 in.,"Mickey Tucker Collection, SC 174, Archives of African American Music and Culture, Indiana University, Bloomington.",http://purl.dlib.indiana.edu/iudl/images/VAE3152/VAE3152-000081,"Amsterdam, Netherlands",
img006,Publicity Portrait.jpg,Mickey Tucker publicity portrait,"Tucker, Mickey",undated,image/jpg,Jazz musicians--United States,,"Mickey in a tuxedo with a bowtie, smiling",1 photograph : b&w ; 8 x 10 in.,"Mickey Tucker Collection, SC 174, Archives of African American Music and Culture, Indiana University, Bloomington.",http://purl.dlib.indiana.edu/iudl/images/VAE3152/VAE3152-000156,Unknown,
img007,BillyHarperEnsembleJapan1.jpg,Billy Harper Ensemble in Japan program,"Tucker, Mickey; Harper, Billy",1987-11-01,image/jpg,Jazz musicians--United States; Concert program;,,"Program Flyer of Billy Harper Ensemble in Japan, Front",,"Mickey Tucker Collection, SC 174, Archives of African American Music and Culture, Indiana University, Bloomington.",,Japan,
img008 ,BillyHarperEnsembleJapan2.jpg,Billy Harper Ensemble in Japan program,"Tucker, Mickey; Harper, Billy",1987-11-01,image/jpg,Jazz musicians--United States; Concert program;,,"Program Flyer of Billy Harper Ensemble in Japan, Back",,"Mickey Tucker Collection, SC 174, Archives of African American Music and Culture, Indiana University, Bloomington.",,Japan,
img009,FAR Center 1.jpg,Imagine: Collaboration Jam Session 1 ,"Sudhalter, Carol; Osby, Greg; Baptiste, Jamaal; Burrage, Ronnie; Dixon, Rob; Bartz, Gary",2022-10-22,image/jpg,,"Watts, Mia","Jazz septet performing in front of an audience, Gary Bartz performing a solo on saxophone",Digital Image,,N/A,"FAR Center; Bloomington, Indiana, United States",
img010 ,FAR Center 2.jpg,Imagine: Collaboration Jam Session 2,"Sudhalter, Carol; Osby, Greg; Baptiste, Jamaal; Burrage, Ronnie; Dixon, Rob; Bartz, Gary",2022-10-22,image/jpg,,"Watts, Mia","Jazz septet performing in front of an audience, Rob Dixon performing a solo on saxophone",Digital Image,,,"FAR Center; Bloomington, Indiana, United States",
img011,FAR Center 3.jpg,Imagine: Collaboration Jam Session 3,"Sudhalter, Carol; Osby, Greg; Baptiste, Jamaal; Burrage, Ronnie; Dixon, Rob; Bartz, Gary",2022-10-22,image/jpg,,"Watts, Mia","Jazz septet performng in front of an audience, photos of Mickey Tucker playing on a slideshow in the background",Digital Image,,,"FAR Center; Bloomington, Indiana, United States",
img012,BSO Performance 1.jpg,Imagine: Collaboration - Spiritual Collage World Premiere 1,"Sudhalter, Carol; Osby, Greg; Baptiste, Jamaal; Burrage, Ronnie; Dixon, Rob; Bartz, Gary; Alejandro Guillen",2022-10-23,image/jpg,Jazz; Concertos (Jazz ensemble); Jazz ensemble with orchestra; Saxophone music (Jazz); ,"Watts, Mia","Jazz septet performing with the Bloomington Symphony Orchestra, Alejandro Guillen conducting",Digital Image,,,"Buskirk Chumley Theater; Bloomington, Indiana, United States",
img013,BSO Performance 2.jpg,Imagine: Collaboration - Spiritual Collage World Premiere 2,"Sudhalter, Carol; Osby, Greg; Baptiste, Jamaal; Burrage, Ronnie; Dixon, Rob; Bartz, Gary; Alejandro Guillen",2022-10-23,image/jpg,,"Watts, Mia","Jazz septet performing with the Bloomington Symphony Orchestra, Alejandro Guillen conducting",Digital Image,,,"Buskirk Chumley Theater; Bloomington, Indiana, United States",
